\left[ x_{0} + - \left(- x_{0}\right)^{5}\right],x+y,complex
\left[ - \left(- x_{0}\right)^{3} x_{0}\right],x+y,complex
\left[ - x_{1} + 2 x_{0}\right],x+y,complex
\left[ \left(- - x_{0} x_{0}\right)^{3}\right],x+y,complex
\left[ \left(x_{1}^{3} x_{1}^{2}\right)^{5}\right],x+y,complex
\left[ - x_{2} x_{0}^{3}\right],x+y,complex
- - - x_{0} x_{0},x+y,complex
x_{0} + - x_{0} x_{1},x+y,complex
\left(x_{0} + x_{2}\right) x_{2} x_{0},x+y,complex
\left(x_{0}^{0} + - x_{0}\right)^{0},x+y,complex
\left(2 x_{0} + - x_{0}\right)^{5},x+y,complex
\left(2 x_{0} + 2 x_{1}\right)^{4},x+y,complex
x_{0}^{4} + - - x_{0} + - - x_{0},x+y,complex
- \left(\left(\left(- x_{1}\right)^{0} x_{0}^{4} x_{1}\right)^{1}\right)^{3},x+y,complex
- x_{1} + x_{2} \left(x_{0} + x_{3}\right) x_{2} x_{3},x+y,complex
\left(\left(- - \left(\left(- x_{0}\right)^{2}\right)^{5}\right)^{0} x_{0}\right)^{5},85
\left(\left(\left(x_{1} + - x_{1}\right) - x_{1}^{2}\right)^{0}\right)^{0},28
\left(- x_{1}\right)^{2} x_{1}^{2} x_{0},19
\left(x_{1} x_{4} x_{0} x_{3} x_{4} x_{1} x_{4}\right)^{2},27
- x_{5} x_{3}^{2} x_{1} x_{4} x_{2} x_{5},25
\left(- x_{0} + - - x_{1} + - x_{0}\right)^{2},25
\left(\left(x_{3} + 2 x_{2}\right) x_{4}^{2} x_{0}\right)^{1},25
- - x_{2} + x_{1}^{0} + x_{2}^{0} x_{0},27
x_{2} + - \left(2 x_{1} + \left(- x_{1}\right)^{3}\right)^{4},25
x_{0} + x_{1} + x_{3} + x_{5} + - x_{2} x_{5}^{2},31
\left(\left(\left(x_{0}^{2}\right)^{0} \cdot - x_{0}^{5}\right)^{2}\right)^{3},29
x_{0}^{2},5
\left(- x_{0}\right)^{0},8
x_{0} x_{1},5
- - x_{0},6
- x_{0}^{4},6
- x_{0}^{1},6
- - x_{0},6
x_{0} x_{1},5
\left(- x_{0}\right)^{2},8
x_{1}^{2},5
- x_{0}^{1},6
